CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/08/2022,6:28,,,,,,QUEENSBORO BRIDGE UPPER,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4525680,Sedan,,,,
05/08/2022,14:00,QUEENS,11373,40.73957,-73.86705,"(40.73957, -73.86705)",53 AVENUE,JUNCTION BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4526675,E-Scooter,Station Wagon/Sport Utility Vehicle,,,
05/08/2022,15:00,BROOKLYN,11206,0,0,"(0.0, 0.0)",MARCY AVENUE,MYRTLE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4526649,Sedan,,,,
05/08/2022,15:10,BROOKLYN,11205,40.69279,-73.95206,"(40.69279, -73.95206)",HART STREET,NOSTRAND AVENUE,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,4526651,Sedan,,,,
05/08/2022,22:25,MANHATTAN,10012,40.723167,-73.99913,"(40.723167, -73.99913)",,,96        SPRING STREET,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4525902,Station Wagon/Sport Utility Vehicle,,,,
05/08/2022,7:45,,,40.735764,-73.97491,"(40.735764, -73.97491)",FDR DRIVE,,,1,0,0,0,0,0,1,0,Driver Inexperience,,,,,4526161,Station Wagon/Sport Utility Vehicle,,,,
05/08/2022,10:08,,,40.663925,-73.89961,"(40.663925, -73.89961)",LIVONIA AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4526013,Station Wagon/Sport Utility Vehicle,Carry All,,,
05/08/2022,3:20,MANHATTAN,10012,0,0,"(0.0, 0.0)",BOWERY,DELANCEY STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4525601,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/08/2022,18:30,,,40.850807,-73.86781,"(40.850807, -73.86781)",BRONX PARK EAST,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4525969,Sedan,Sedan,,,
05/08/2022,10:08,,,40.686237,-73.839066,"(40.686237, -73.839066)",101 AVENUE,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Unspecified,Unspecified,,4526059,Sedan,Sedan,Sedan,,
05/08/2022,0:30,,,40.76645,-73.9085,"(40.76645, -73.9085)",44 STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4525622,Sedan,Sedan,,,
